apellidos_nombres,dni,fecha_nacimiento,genero,telefono,correo,area,puesto,contrato,sede,fecha_ingreso,modalidad,fila,identificador,motivo
"Ponce Chávez, Andrés",78850600,1991-09-02,Prefiero no indicar,915334035,andres.ponce@gruponova.com,Gerencia General,Analista Sr.,Practicante Preprofesional,Chiclayo,2025-09-25,Remoto,22,"DNI 78850600 - Ponce Chávez, Andrés","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Vásquez Núñez, Alberto",68701583,1990-02-28,No binario,911297845,alberto.vasquez@gruponova.com,Finanzas y Contabilidad,Analista Sr.,Part-time,Lima - La Molina,2025-02-06,Híbrido,27,"DNI 68701583 - Vásquez Núñez, Alberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Núñez Torres, Pilar",68842498,1970-09-20,No binario,915614174,pilar.nunez@gruponova.com,Comercial y Ventas,Coordinador Comercial,Planilla Fija,Trujillo,2026-11-30,Presencial,28,"DNI 68842498 - Núñez Torres, Pilar","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Herrera Ramírez, Roberto",47254174,1982-02-28,Prefiero no indicar,915197528,roberto.herrera@gruponova.com,Logística y Supply Chain,Especialista Legal,Contrato por Servicios,Piura,2025-11-09,Remoto,30,"DNI 47254174 - Herrera Ramírez, Roberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Gómez Mendoza, José",51983483,1991-01-17,No binario,945630292,jose.gomez@gruponova.com,Recursos Humanos,Analista de Datos,Contrato a Plazo Fijo,Cusco,2025-11-18,Remoto,32,"DNI 51983483 - Gómez Mendoza, José","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Cabrera Gómez, Teresa",65850027,1990-11-12,Prefiero no indicar,935511941,teresa.cabrera@gruponova.com,Comercial y Ventas,Analista,Part-time,Cusco,2026-06-17,Presencial,33,"DNI 65850027 - Cabrera Gómez, Teresa","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Díaz Vargas, Milagros",68215675,1994-10-30,No binario,960888017,milagros.diaz@gruponova.com,Tecnología e Innovación,Practicante Preprofesional,Practicante Profesional,Cusco,2025-01-01,Híbrido,35,"DNI 68215675 - Díaz Vargas, Milagros","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Rojas Delgado, Pablo",78922119,1992-03-19,No binario,997873101,pablo.rojas@gruponova.com,Marketing,Gerente de Área,Practicante Preprofesional,Piura,2025-08-07,Híbrido,36,"DNI 78922119 - Rojas Delgado, Pablo","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Sánchez Medina, Alberto",74591398,1994-10-12,Prefiero no indicar,994951883,alberto.sanchez@gruponova.com,Gerencia General,Coordinador de Área,Planilla Fija,Lima - Callao,2025-11-14,Híbrido,37,"DNI 74591398 - Sánchez Medina, Alberto","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Ríos Espinoza, Diego",77508841,1991-09-17,Prefiero no indicar,952587010,diego.rios@gruponova.com,Logística y Supply Chain,Asistente Administrativo,Practicante Preprofesional,Chiclayo,2025-06-12,Remoto,40,"DNI 77508841 - Ríos Espinoza, Diego","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Mendoza Chávez, Gabriela",58610049,1999-05-10,Prefiero no indicar,979967676,gabriela.mendoza@gruponova.com,Logística y Supply Chain,Especialista Legal,Practicante Profesional,Piura,2025-10-20,Presencial,41,"DNI 58610049 - Mendoza Chávez, Gabriela","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Carrasco Ríos, Ana",67902136,1967-10-18,Prefiero no indicar,937760841,ana.carrasco@gruponova.com,Legal y Cumplimiento,Coordinador de Proyectos,Contrato a Plazo Fijo,Lima - San Isidro (Sede Central),2026-01-25,Híbrido,43,"DNI 67902136 - Carrasco Ríos, Ana","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Huamán Aguilar, Carlos",66171560,2003-04-14,Prefiero no indicar,966240084,carlos.huaman@gruponova.com,Servicio al Cliente,Practicante Profesional,Contrato a Plazo Fijo,Lima - Callao,2025-08-13,Remoto,44,"DNI 66171560 - Huamán Aguilar, Carlos","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Guerrero Rodríguez, Silvia",66095765,1980-01-30,No binario,999774697,silvia.guerrero@gruponova.com,Legal y Cumplimiento,Analista Financiero,Practicante Preprofesional,Lima - La Molina,2026-07-01,Híbrido,45,"DNI 66095765 - Guerrero Rodríguez, Silvia","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: No binario; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
"Mamani Paredes, María",58673485,1998-09-25,Prefiero no indicar,966581473,maria.mamani@gruponova.com,Comercial y Ventas,Analista Sr.,Practicante Preprofesional,Lima - San Isidro (Sede Central),2026-07-07,Híbrido,47,"DNI 58673485 - Mamani Paredes, María","Opcion no encontrada en un dropdown: Message: Could not locate element with visible text: Prefiero no indicar; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
"
